antecedent,consequent,support,confidence,lift
{onions}, {cream cheese}, 0.01, 0.135, 1.522
{cream cheese}, {onions}, 0.01, 0.116, 1.522
{UHT-milk}, {cream cheese}, 0.011, 0.134, 1.514
{cream cheese}, {UHT-milk}, 0.011, 0.119, 1.514
{napkins}, {cream cheese}, 0.011, 0.129, 1.461
{cream cheese}, {napkins}, 0.011, 0.119, 1.461
{cream cheese}, {dessert}, 0.011, 0.128, 1.475
{dessert}, {cream cheese}, 0.011, 0.131, 1.475
{cream cheese}, {white bread}, 0.01, 0.113, 1.274
{white bread}, {cream cheese}, 0.01, 0.113, 1.274
{beverages}, {white bread}, 0.011, 0.169, 1.909
{white bread}, {beverages}, 0.011, 0.118, 1.909
{cream cheese}, {chicken}, 0.01, 0.113, 1.124
{chicken}, {cream cheese}, 0.01, 0.099, 1.124
{UHT-milk}, {chicken}, 0.011, 0.134, 1.332
{chicken}, {UHT-milk}, 0.011, 0.105, 1.332
{onions}, {chicken}, 0.011, 0.141, 1.406
{chicken}, {onions}, 0.011, 0.107, 1.406
{chicken}, {waffles}, 0.012, 0.117, 1.7
{waffles}, {chicken}, 0.012, 0.171, 1.7
{chicken}, {white bread}, 0.012, 0.117, 1.322
{white bread}, {chicken}, 0.012, 0.133, 1.322
{frozen vegetables}, {berries}, 0.01, 0.098, 1.222
{berries}, {frozen vegetables}, 0.01, 0.125, 1.222
{hamburger meat}, {frozen vegetables}, 0.01, 0.125, 1.214
{frozen vegetables}, {hamburger meat}, 0.01, 0.098, 1.214
{frozen vegetables}, {chocolate}, 0.011, 0.102, 1.186
{chocolate}, {frozen vegetables}, 0.011, 0.122, 1.186
{UHT-milk}, {frozen vegetables}, 0.011, 0.144, 1.401
{frozen vegetables}, {UHT-milk}, 0.011, 0.11, 1.401
{frozen vegetables}, {cream cheese}, 0.011, 0.11, 1.243
{cream cheese}, {frozen vegetables}, 0.011, 0.128, 1.243
{frozen vegetables}, {dessert}, 0.012, 0.113, 1.301
{dessert}, {frozen vegetables}, 0.012, 0.134, 1.301
{napkins}, {frozen vegetables}, 0.012, 0.148, 1.445
{frozen vegetables}, {napkins}, 0.012, 0.118, 1.445
{frozen vegetables}, {chicken}, 0.013, 0.125, 1.243
{chicken}, {frozen vegetables}, 0.013, 0.128, 1.243
{coffee}, {dessert}, 0.01, 0.087, 1.007
{dessert}, {coffee}, 0.01, 0.116, 1.007
{coffee}, {misc. beverages}, 0.01, 0.087, 1.475
{misc. beverages}, {coffee}, 0.01, 0.17, 1.475
{coffee}, {white bread}, 0.01, 0.089, 1.006
{white bread}, {coffee}, 0.01, 0.116, 1.006
{coffee}, {berries}, 0.011, 0.094, 1.175
{berries}, {coffee}, 0.011, 0.135, 1.175
{coffee}, {hamburger meat}, 0.011, 0.094, 1.168
{hamburger meat}, {coffee}, 0.011, 0.134, 1.168
{coffee}, {napkins}, 0.011, 0.094, 1.153
{napkins}, {coffee}, 0.011, 0.132, 1.153
{coffee}, {chocolate}, 0.011, 0.098, 1.136
{chocolate}, {coffee}, 0.011, 0.131, 1.136
{coffee}, {chicken}, 0.012, 0.105, 1.043
{chicken}, {coffee}, 0.012, 0.12, 1.043
{coffee}, {UHT-milk}, 0.013, 0.112, 1.422
{UHT-milk}, {coffee}, 0.013, 0.163, 1.422
{coffee}, {frozen vegetables}, 0.013, 0.114, 1.109
{frozen vegetables}, {coffee}, 0.013, 0.128, 1.109
{coffee}, {cream cheese}, 0.014, 0.121, 1.362
{cream cheese}, {coffee}, 0.014, 0.157, 1.362
{napkins}, {margarine}, 0.011, 0.136, 1.16
{margarine}, {napkins}, 0.011, 0.094, 1.16
{UHT-milk}, {margarine}, 0.012, 0.15, 1.285
{margarine}, {UHT-milk}, 0.012, 0.101, 1.285
